"row_ID","Life History stage","Taxon","Habitat","Phylum","Class","Family","Genus","Species","Name","ta_high","ta_low","acclim_window","Proximity of high acclimation temperature to CTMax/ °C","Source","tc_high","ARR","Acclimation duration/ days","collection_latitude","Longitude of collection/ °","Metric","heating_rate","Absolute latitude/°","Latitudinal bin","Mid Bin Latitude/ °","Hemisphere","Absolute northern distribution limit/ °","Absolute southern distribution limit/ °","Minimum hemisphere limit/ °","Maximum hemisphere limit/ °","Latitudinal range size/°","mid latitude/ °","Mean environmental temperature/ °C","Maximum environmental temperature/ °C","CTMax now/ °C","Thermal safety margin/ °C","Time until loss of thermal safety without acclimation, RCP4.5/ years","Time until loss of thermal safety without acclimation, RCP8.5/ years","Time gained until loss of thermal safety with acclimation, RCP4.5/ years","Time gained until loss of thermal safety with acclimation, RCP8.5/ years","% increase in thermal safety (years) gained due to acclimation capacity","Error checked","Reference","doi","Jstor stable ref","ref","url","tc_low","ht_low","ht_high","tau_a_low","tau_a_high","tau_c_low","tau_c_high","lambda","delta_tau_low","delta_tau_high","delta_tr_low","delta_tr_high","delta_tau_high_hat","delta_tau_low_hat"
11,"adult","aquatic invertebrates","freshwater","Platyhelminthes","Turbellaria","Planariidae","Dugesia","tigrina","Dugesia tigrina",25,5,20,14,"lab",39,0.355,12,41,-84,"crit",72,41,"mid",37.5,"N",53,48,48,53,5,55.5,28.8,28.8,40.349,11.549,493.4471855,301.4579616,175.1737508,107.0175764,26,2017-02-10,"Claussen & Walter 1982","doi: 10.1007/BF00016404",NA,NA,NA,31.9,26.9,14,0.0183049606443346,0.0915248032216731,0.116785648910855,0.14277869302581,0.263591433278418,0.0984806882665202,0.0512538898041369,2.68380587496548,4.13206191947623,0.0396745478639315,0.114276903930157
12,"adult","aquatic invertebrates","freshwater","Arthropoda","Insecta","Dytiscidae","Agabus","brunneus","Agabus brunneus",20.5,14.5,6,25.8,"wild",46.3,0.05,7,36,-6.3,"leth",60,36,"mid",37.5,"N",51,30,30,51,21,41,29.04255319,32.2,46.72712766,14.52712766,562.9363689,338.7138783,28.14681844,16.93569392,5,2017-04-10,"Calosi_et_al2008","doi:10.1111/j.1365-2699.2007.01787.x",NA,NA,NA,46,31.5,25.8,0.0530843858685704,0.0750503386417719,0.168405637927878,0.169503935566539,0.219659527732015,0.115321252059308,0.0944535969247666,12.376127852981,12.2284389562487,0.0948823953175866,0.114875335889228
13,"adult","aquatic invertebrates","freshwater","Arthropoda","Insecta","Dytiscidae","Agabus","didymus","Agabus didymus",20.5,14.5,6,24.2,"wild",44.7,0.066666667,7,38,-2.56,"leth",60,38,"mid",37.5,"N",56,30,30,56,26,43,29.4,29.4,45.29333334,15.89333334,786.6709749,472.3450599,52.44473192,31.48967082,6,2017-04-10,"Calosi_et_al2008","doi:10.1111/j.1365-2699.2007.01787.x",NA,NA,NA,44.299999998,29.799999998,24.2,0.0530843858685704,0.0750503386417719,0.162181951301483,0.163646348160351,0.219659527732015,0.109097565432912,0.0885960095185796,10.4591621232908,10.3645570277073,0.0889153633815962,0.108763292357275
14,"adult","aquatic invertebrates","freshwater","Arthropoda","Insecta","Dytiscidae","Agabus","ramblae","Agabus ramblae",20.5,14.5,6,24,"wild",44.5,0,7,37.5,-1.9,"leth",60,38,"mid",37.5,"N",42,31,31,42,11,36,30.4,30.4,44.5,14.1,697.9065064,419.0477354,0,0,0,2017-04-10,"Calosi_et_al2008","doi:10.1111/j.1365-2699.2007.01787.x",NA,NA,NA,44.5,30,24,0.0530843858685704,0.0750503386417719,0.162914149734578,0.162914149734578,0.219659527732015,0.109829763866008,0.0878638110928062,10.6692253472945,10.1505363571496,0.0896153038988253,0.10799640405626
15,"adult","aquatic invertebrates","freshwater","Arthropoda","Insecta","Dytiscidae","Agabus","rufulus","Agabus rufulus",20.5,14.5,6,22.6,"wild",43.1,0,7,37.5,-1.9,"leth",60,38,"mid",37.5,"N",43,39,39,43,4,41,30.4,30.4,43.1,12.7,628.6108249,377.4401589,0,0,0,2017-04-10,"Calosi_et_al2008","doi:10.1111/j.1365-2699.2007.01787.x",NA,NA,NA,43.1,28.6,22.6,0.0530843858685704,0.0750503386417719,0.157788760754164,0.157788760754164,0.219659527732015,0.104704374885594,0.0827384221123925,9.2778846305259,8.75919564038093,0.0847282634918712,0.102608186782524
16,"adult","reptiles and amphibians","terrestrial","Chordata","Amphibia","Bufonidae","Anaxyrus","boreas","Anaxyrus boreas",30,15,15,7.8,"wild",37.8,0.12,17,34,-117,"crit",60,34,"mid",37.5,"N",60.8,28.9,28.9,60.8,31.9,44.85,25,30.5,37.2,6.7,236.7888104,141.4847436,28.41465725,16.97816924,11,2017-02-17,"Brattstrom 1968","doi: 10.1016/0010-406X(68)90961-4",NA,NA,NA,36,21,7.8,0.0549148819330038,0.109829763866008,0.131795716639209,0.13838550247117,0.219659527732015,0.0768808347062054,0.028555738605162,4.41513035606226,3.14343799492215,0.03600744840852,0.065728219924741
17,"adult","reptiles and amphibians","terrestrial","Chordata","Amphibia","Bufonidae","Anaxyrus","boreas","Anaxyrus boreas",30,15,15,8.1,"wild",38.1,0.14,17,34,-116,"crit",60,34,"mid",37.5,"N",60.8,28.9,28.9,60.8,31.9,44.85,34.59999847,40.20000076,38.74399979,0,0,0,0,0,0,2017-02-17,"Brattstrom 1968","doi: 10.1016/0010-406X(68)90961-4",NA,NA,NA,36,21,8.1,0.0549148819330038,0.109829763866008,0.131795716639209,0.13948380010983,0.219659527732015,0.0768808347062054,0.0296540362438221,4.41513035606226,3.3160378384738,0.03600744840852,0.0674410446860333
18,"adult","reptiles and amphibians","terrestrial","Chordata","Amphibia","Bufonidae","Anaxyrus","canorus","Anaxyrus canorus",30,23,7,8,"wild",38,0.242857143,17,38,-73,"crit",60,38,"mid",37.5,"N",38,37.9,37.9,38,0.1,37.95,30.39999962,34.90000153,38.09714276,3.197141239,158.2486293,95.01807064,38.43180999,23.07581717,20,2017-02-17,"Brattstrom 1968","doi: 10.1016/0010-406X(68)90961-4",NA,NA,NA,36.299999999,13.299999999,8,0.0842028189639392,0.109829763866008,0.132894014274208,0.139117700896943,0.219659527732015,0.0486911953102691,0.0292879370309354,3.75747988325618,3.25796682774261,0.0323306665772283,0.0447963237059423
19,"adult","reptiles and amphibians","terrestrial","Chordata","Amphibia","Bufonidae","Anaxyrus","debilis","Anaxyrus debilis",30,23,7,10.1,"wild",40.1,0.014285714,17,22,-105,"crit",60,22,"low",12.5,"N",38,23,23,38,15,31,29.29999924,36,40.08999999,4.089999989,134.9001003,81.09196638,1.927144251,1.158456639,1,2017-02-17,"Brattstrom 1968","doi: 10.1016/0010-406X(68)90961-4",NA,NA,NA,40.000000002,17.000000002,10.1,0.0842028189639392,0.109829763866008,0.146439685161999,0.146805784367564,0.219659527732015,0.0622368661980597,0.0369760205015559,5.93703388464014,4.59887901661525,0.0433893224789555,0.0544867327561129
20,"adult","reptiles and amphibians","terrestrial","Chordata","Amphibia","Bufonidae","Anaxyrus","exsul","Anaxyrus exsul",30,23,7,7.1,"wild",37.1,0.128571429,17,38,-116,"crit",60,38,"mid",37.5,"N",37.4,37.2,37.2,37.4,0.2,37.3,27.60000038,32.70000076,36.79142862,4.091427857,202.5130583,121.5959985,26.03739329,15.63377128,11,2017-02-17,"Brattstrom 1968","doi: 10.1016/0010-406X(68)90961-4",NA,NA,NA,36.199999997,13.199999997,7.1,0.0842028189639392,0.109829763866008,0.132527915054,0.135822807980963,0.219659527732015,0.0483250960900604,0.0259930441149552,3.70838817880784,2.75900914649173,0.0320418720444037,0.0404767864262494
21,"adult","reptiles and amphibians","terrestrial","Chordata","Amphibia","Bufonidae","Anaxyrus","fowleri","Anaxyrus fowleri",23,5,18,13.60000001,"wild",36.60000001,0.155555556,17,42,-99,"crit",60,42,"mid",37.5,"N",51.1,30,30,51.1,21.1,40.55,30.29999924,35.40000153,37.73555545,2.335553924,93.47260219,57.59120065,14.5401826,8.958631237,13,2017-02-17,"Brattstrom 1968","doi: 10.1016/0010-406X(68)90961-4",NA,NA,NA,33.800000002,28.800000002,13.60000001,0.0183049606443346,0.0842028189639392,0.123741533963024,0.133992311953139,0.219659527732015,0.105436573318689,0.0497894929892001,3.9006032111225,3.90753391825882,0.0497394363269788,0.105501482373495
22,"adult","reptiles and amphibians","terrestrial","Chordata","Amphibia","Bufonidae","Anaxyrus","nelsoni","Anaxyrus nelsoni",30,5,25,6.2,"wild",36.2,0.036,17,37,-73,"crit",60,37,"mid",37.5,"N",38.2,35.8,35.8,38.2,2.4,37,30.89999962,35.90000153,36.23239999,0.33239846,15.14265596,9.112183505,0.545135615,0.328038606,3,2017-02-17,"Brattstrom 1968","doi: 10.1016/0010-406X(68)90961-4",NA,NA,NA,35.3,30.3,6.2,0.0183049606443346,0.109829763866008,0.129233022149002,0.132527915064983,0.219659527732015,0.110928061504668,0.0226981511989749,4.52946306168199,2.30024647672841,0.0366129214192534,0.0865329378266422
23,"adult","reptiles and amphibians","terrestrial","Chordata","Amphibia","Ascaphidae","Ascaphus","truei","Ascaphus truei",20,10,10,9.6,"wild",29.6,0,8,46,-113,"crit",60,46,"mid",37.5,"N",52.4,33.8,33.8,52.4,18.6,43.1,25.89999962,30.70000076,29.6,0,0,0,0,0,0,2017-02-10,"Claussen 1973","doi: 10.1016/0300-9629(73)90377-0",NA,NA,NA,29.6,19.6,9.6,0.0366099212886692,0.0732198425773385,0.108365367014461,0.108365367014461,0.219659527732015,0.0717554457257917,0.0351455244371225,2.37413166341895,1.67360902685298,0.0438269288920714,0.0605902752380383
24,"adult","fish","freshwater","Chordata","Actinopterygii","Cyprinidae","Brachydanio","rerio","Brachydanio rerio",35,25,10,4.8,"wild",39.8,0.21,45,26,91,"crit",60,26,"mid",37.5,"N",33,8,8,33,25,20.5,31.6,31.6,39.086,7.486,342.2975699,211.7182727,71.88248968,44.46083727,17,2017-04-14,"Majhi & Das 2013","doi: 10.4194/1303-2712-v13_2_19",NA,NA,NA,37.7,12.7,4.8,0.0915248032216731,0.128134724510342,0.138019403258283,0.145707486728904,0.219659527732015,0.0464946000366099,0.0175727622185612,4.18164428201511,2.6453328286903,0.0250407438059256,0.03494190433877
25,"adult","fish","freshwater","Chordata","Actinopterygii","Cyprinidae","Campostoma","anomalum","Campostoma anomalum",30,7.5,22.5,5.8,"wild",35.8,0.311111111111111,17,39,-84,"crit",60,39,"mid",37.5,"N",48,26,26,48,22,37,29.2,29.2,35.43870968,6.238709678,302.2089488,182.1450689,94.02056183,56.66735474,24,2017-02-10,"Chagnon and Hlohowskyj 1989","doi: 10.1007/BF01700246",NA,NA,NA,28.8,21.3,5.8,0.0274574409665019,0.109829763866008,0.105436573311367,0.131063518213436,0.219659527732015,0.0779791323448655,0.0212337543474281,2.26516773404601,2.10839744612921,0.0224344442590076,0.0755631282676955
26,"adult","reptiles and amphibians","terrestrial","Chordata","Reptilia","Chelydridae","Chelydra","serpentina","Chelydra serpentina",25,15,10,16.1,"lab",41.1,0.2,180,42,-78,"leth",60,42,"mid",37.5,"N",51,-2.1,0,51,51,25.5,25.10000038,29.89999962,41.12000008,11.22000046,449.0423573,276.6681133,89.80847145,55.33362267,17,2017-04-15,"Williamson et al 1989","doi: 10.1016/0306-4565(89)90027-2",NA,NA,NA,39.1,24.1,16.1,0.0549148819330038,0.0915248032216731,0.143144792238697,0.150466776496431,0.219659527732015,0.0882299103056929,0.0589419732747575,6.13925488753557,6.43054554672912,0.0575355462060878,0.0898605407100556
27,"adult","reptiles and amphibians","terrestrial","Chordata","Amphibia","Microhylidae","Cophixalus","ornatus","Cophixalus ornatus",30,10,20,3.3,"wild",33.3,0.11,12,-18,148,"crit",60,18,"low",12.5,"S",-16.4,-18.9,16.4,18.9,2.5,17.65,32.09999847,37.79999924,33.53099983,0,0,0,0,0,0,2017-04-09,"Brattstrom 1970","doi: 10.1016/0010-406x(70) 90915-1",NA,NA,NA,31.1,21.1,3.3,0.0366099212886692,0.109829763866008,0.113856855207761,0.121911037891269,0.219659527732015,0.0772469339190921,0.0120812740252608,2.79907811688812,1.05877626769268,0.0262681043677043,0.0472114564370387
28,"adult","reptiles and amphibians","terrestrial","Chordata","Amphibia","Myobatrachidae","Crinia","laevis","Crinia laevis",25,5,20,9.6,"wild",34.6,0.23,12,-38,147,"crit",60,38,"mid",37.5,"S",-37.8,-42.7,37.8,42.7,4.9,40.25,26.10000038,30.60000038,34.85300009,4.252999706,251.2843389,146.9169169,57.79539795,33.79089088,19,2017-04-09,"Brattstrom 1970","doi: 10.1016/0010-406x(70) 90915-1",NA,NA,NA,30,25,9.6,0.0183049606443346,0.0915248032216731,0.109829763866008,0.126670327658796,0.219659527732015,0.0915248032216731,0.0351455244371225,2.65102227124093,2.66867975856756,0.03499162225462,0.0917600487950023
29,"adult","reptiles and amphibians","terrestrial","Chordata","Amphibia","Myobatrachidae","Crinia","signifera","Crinia signifera",25,5,20,8.5,"wild",33.5,0.135,12,-43,146,"crit",60,43,"mid",37.5,"S",-27.6,-43.1,27.6,43.1,15.5,35.35,18.89999962,23.89999962,32.67649995,8.77650033,634.9561789,374.1973164,85.71908416,50.51663772,12,2017-04-09,"Brattstrom 1970","doi: 10.1016/0010-406x(70) 90915-1",NA,NA,NA,30.8,25.8,8.5,0.0183049606443346,0.0915248032216731,0.112758557569101,0.122643236317042,0.219659527732015,0.0944535969247666,0.0311184330953688,2.87858739141567,2.22870557060201,0.0369302694407922,0.0854319271236021
30,"adult","reptiles and amphibians","terrestrial","Chordata","Amphibia","Myobatrachidae","Crinia","signifera","Crinia signifera",25,5,20,10.3,"wild",35.3,0.15,12,-31,151,"crit",60,31,"mid",37.5,"S",-27.6,-43.1,27.6,43.1,15.5,35.35,27.60000038,34.40000153,35.69000006,1.289998531,59.94050044,35.62335401,8.991075066,5.343503101,13,2017-04-09,"Brattstrom 1970","doi: 10.1016/0010-406x(70) 90915-1",NA,NA,NA,32.3,27.3,10.3,0.0183049606443346,0.0915248032216731,0.118250045762402,0.129233022149002,0.219659527732015,0.099945085118067,0.0377082189273293,3.35388802970586,2.97311487364291,0.0406944703889048,0.0956087013157399
31,"adult","reptiles and amphibians","terrestrial","Chordata","Amphibia","Myobatrachidae","Crinia","signifera","Crinia signifera",25,5,20,10.7,"wild",35.7,0.205,12,-38,148,"crit",60,38,"mid",37.5,"S",-27.6,-43.1,27.6,43.1,15.5,35.35,24.20000076,29.89999962,35.53600016,5.636000538,326.0843847,191.1493625,66.84729886,39.18561931,17,2017-04-09,"Brattstrom 1970","doi: 10.1016/0010-406x(70) 90915-1",NA,NA,NA,31.6,26.6,10.7,0.0183049606443346,0.0915248032216731,0.115687351272195,0.130697419000549,0.219659527732015,0.0973823906278602,0.0391726157788761,3.12379192132053,3.15621783314455,0.0389172351533737,0.0977538269393435
32,"adult","reptiles and amphibians","terrestrial","Chordata","Amphibia","Myobatrachidae","Crinia","victoriana","Crinia victoriana",25,10,15,10,"wild",35,0.133333333,12,-37,151,"crit",60,37,"mid",37.5,"S",-37.6,-38,37.6,38,0.4,37.8,24.70000076,28.79999924,34.9600001,6.160000865,318.9010044,188.6754068,42.52013381,25.15672084,12,2017-04-09,"Brattstrom 1970","doi: 10.1016/0010-406x(70) 90915-1",NA,NA,NA,33.000000005,23.000000005,10,0.0366099212886692,0.0915248032216731,0.120812740270913,0.128134724510342,0.219659527732015,0.0842028189822442,0.0366099212886692,3.43019415322373,2.84020396574705,0.0412665081222091,0.0777397650183759
33,"adult","fish","freshwater","Chordata","Actinopterygii","Cyprinidae","Danio","dangila","Danio dangila",35,25,10,5.9,"wild",40.9,0.32,45,26,91,"crit",60,26,"mid",37.5,"N",27,26,26,27,1,26.5,31.6,31.6,39.812,8.212,375.4939412,232.2509291,120.1580612,74.32029733,24,2017-04-14,"Majhi & Das 2013","doi: 10.4194/1303-2712-v13_2_19",NA,NA,NA,37.7,12.7,5.9,0.0915248032216731,0.128134724510342,0.138019403258283,0.149734578070657,0.219659527732015,0.0464946000366099,0.0215998535603149,4.18164428201511,3.43739028717544,0.0250407438059256,0.0413200268488543
34,"adult","fish","freshwater","Chordata","Actinopterygii","Percidae","Etheostoma","blennioides","Etheostoma blennioides",20,10,10,14.5,"wild",34.5,0.45,14,40,-84,"crit",60,40,"mid",37.5,"N",43,34,34,43,9,38.5,28.8,28.8,38.46,9.66,443.5802691,268.5191724,199.6111211,120.8336276,31,2017-04-11,"Hlohowskyj and Wissing 1985","doi: 10.1139/z85-241",NA,NA,NA,30,20,14.5,0.0366099212886692,0.0732198425773385,0.109829763866008,0.126304228445909,0.219659527732015,0.0732198425773385,0.0530843858685704,2.48169963238855,3.31329273790732,0.045004932642976,0.0830040145761659
35,"adult","fish","freshwater","Chordata","Actinopterygii","Percidae","Etheostoma","caeruleum","Etheostoma caeruleum",20,10,10,14.05,"wild",34.05,0.4,14,40,-84,"crit",60,40,"mid",37.5,"N",46,30,30,46,16,38,28.8,28.8,37.57,8.77,402.7121076,243.7798284,161.084843,97.51193135,29,2017-04-11,"Hlohowskyj and Wissing 1985","doi: 10.1139/z85-241",NA,NA,NA,30.05,20.05,14.05,0.0366099212886692,0.0732198425773385,0.110012813472451,0.124656781987919,0.219659527732015,0.0734028921837818,0.0514369394105803,2.49543015513776,3.12955126944285,0.0451527849093335,0.0810424592710735
36,"adult","fish","freshwater","Chordata","Actinopterygii","Percidae","Etheostoma","flabellare","Etheostoma flabellare",20,10,10,14.9,"wild",34.9,0.34,14,40,-84,"crit",60,40,"mid",37.5,"N",46,34,34,46,12,40,28.8,28.8,37.892,9.092,417.4981166,252.7304675,141.9493596,85.92835894,25,2017-04-11,"Hlohowskyj and Wissing 1985","doi: 10.1139/z85-241",NA,NA,NA,31.5,21.5,14.9,0.0366099212886692,0.0732198425773385,0.115321252059308,0.127768625297456,0.219659527732015,0.0787113307706389,0.0545487827201172,2.92280831383749,3.48322372164368,0.0494965824938261,0.0847347803895567
37,"adult","fish","marine","Chordata","Actinopterygii","Cichlidae","Etroplus","suratensis","Etroplus suratensis",35,25,10,8.5,"wild",43.5,0.3,4,11,79,"crit",60,11,"low",12.5,"N",11,-6,0,11,11,5.5,29.761,32.035,41.9283,9.8933,515.3694429,321.7787814,154.6108329,96.53363442,23,2017-04-15,"Rajaguru, 2002","doi: 10.1016/S0306-4565(01)00026-2",NA,NA,NA,40.5,15.5,8.5,0.0915248032216731,0.128134724510342,0.14827018121911,0.159253157605711,0.219659527732015,0.0567453779974373,0.0311184330953689,5.98012401971084,5.66679631121972,0.032288649170789,0.0551414202226911
38,"larvae","terrestrial arthropods","terrestrial","Arthropoda","Insecta","Hodotermitidae","Hodotermes","mossambicus","Hodotermes mossambicus",35,15,20,11.7,"lab",46.7,0.105,15,-29,26,"crit",60,29,"mid",37.5,"S",-10,-34,34,10,24,22,31,37.20000076,46.28,9.079999237,342.6682317,200.5696171,35.98016432,21.05980979,10,NA,"Mitchell_et_al1993","doi: 10.1016/0022-1910(93)90085-6",NA,NA,NA,44.6,29.6,11.7,0.0549148819330038,0.128134724510342,0.163280248947465,0.170968332418085,0.219659527732015,0.108365367014461,0.042833607907743,10.7427257769915,9.26798731350915,0.0467761741312335,0.1029647300325
39,"adult","terrestrial arthropods","terrestrial","Arthropoda","Insecta","Hodotermitidae","Hodotermes","mossambicus","Hodotermes mossambicus",35,15,20,13.5,"lab",48.5,0.14,15,-29,26,"crit",60,29,"mid",37.5,"S",-10,-34,34,10,24,22,31,37.20000076,47.94,10.73999924,405.3146318,237.2376339,56.74404845,33.21326875,12,NA,"Mitchell_et_al1993","doi: 10.1016/0022-1910(93)90085-6",NA,NA,NA,45.7,30.7,13.5,0.0549148819330038,0.128134724510342,0.167307340289218,0.177558118250046,0.219659527732015,0.112392458356215,0.0494233937397035,11.982359669882,11.8194420320477,0.0498088287562793,0.11188620803525
